상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-09-04,1899-0218,EBS,식사지원 예진," 1,536,133 ", 3 , 3 , 3 , 4 ," 75,000 ",,,100%,100%,133%," 512,044 ",0.59
2026-09-04,1899-0219,SPOTV,신장질환 세나," 192,500 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-04,1899-0519,SPOTV2,신장질환 세나," 202,632 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-04,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 5 , 1 , 1 ,,,,,100%,20%,0%, - ,0.00
2026-09-04,1899-0263,JTBC4,이유식 안부," 167,316 ", 5 , 2 , 1 , 1 ," 10,000 ",,,50%,40%,100%," 83,658 ",0.72
2026-09-04,1899-7319,JTBC4,식사지원 준우_메인," 111,544 ", 4 , 1 ,, 1 ," 60,000 ",,,0%,25%,0%," 111,544 ",6.45
2026-09-04,1899-3569,JTBC4,식사지원 준우_아동," 111,544 ", 3 , 1 , 1 ,,,,,100%,33%,0%," 111,544 ",0.00
2026-09-04,1899-7318,JTBC4,식사지원 예진," 167,316 ", 5 , 3 , 2 , 2 ," 50,000 ",,,67%,60%,100%," 55,772 ",3.59
2026-09-04,1899-7325,JTBC4,신장질환 세나," 167,316 ", 5 , 1 , 1 , 1 ," 30,000 ",,,100%,20%,100%," 167,316 ",2.15
2026-09-04,1899-0762,JTBC4,영유아 정훈," 167,316 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-04,1899-7316,JTBC4,네팔 긴급구호," 111,544 ", 4 , 1 , 1 , 1 ," 20,000 ",,,100%,25%,100%," 111,544 ",2.15
2026-09-04,1899-0795,JTBC4,몽골 아누진," 111,544 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-04,1899-7326,JTBC2 (SVC),영유아 정훈, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-04,1899-0776,라이프타임,영유아 정훈," 178,620 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-04,1899-7314,히스토리 (SVC),식사지원 예진, - , 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-04,1899-5186,시네마천국_국내,식사지원 예진," 275,000 ", 11 , 1 ,,,,,,0%,9%,0%," 275,000 ",0.00
2026-09-04,1899-3854,시네마천국_해외,몽골 아누진," 275,000 ", 11 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-04,1899-7317,빌리어즈TV,식사지원 예진," 203,077 ", 4 , 1 , 1 ,,,,,100%,25%,0%," 203,077 ",0.00
2026-09-04,1899-0739,채널S플러스,식사지원 예진," 366,667 ", 4 , 2 , 2 ,,,,,100%,50%,0%," 183,333 ",0.00
2026-09-04,1899-0217,엠플렉스,식사지원 예진," 366,667 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-04,1899-2887,리얼TV (SVC),몽골 아누진, - , 3 , 1 , 1 , 1 ," 100,000 ",,,100%,33%,100%, - ,0.00
2026-09-04,1899-7315,바둑TV,식사지원 예진," 95,639 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-04,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-09-04,2102-4590,발신,-, - , - , 2 , 1 ,,,,,50%,0%,0%, - ,0.00
2026-09-05,1899-0218,EBS,식사지원 예진," 874,414 ", 2 , 2 , 1 ,,,,,50%,100%,0%," 437,207 ",0.00
2026-09-05,1899-0219,SPOTV,신장질환 세나," 192,500 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-05,1899-0519,SPOTV2,신장질환 세나," 202,632 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-05,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-05,1899-0263,JTBC4,이유식 안부," 214,373 ", 6 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-05,1899-7319,JTBC4,식사지원 준우_메인," 142,915 ", 4 , 1 , 1 ,,, 1 ," 20,000 ",100%,25%,0%," 142,915 ",0.00
2026-09-05,1899-3569,JTBC4,식사지원 준우_아동," 142,915 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
