상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-09-07,1899-0218,EBS,식사지원 예진," 1,536,133 ", 3 , 2 ,, 1 ," 30,000 ",,,0%,67%,0%," 768,066 ",0.23
2026-09-07,1899-0219,SPOTV,신장질환 세나," 385,000 ", 6 , 3 , 2 , 1 ," 15,000 ",,,67%,50%,50%," 128,333 ",0.47
2026-09-07,1899-0519,SPOTV2,신장질환 세나," 303,947 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-07,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 3 , 1 , 1 , 2 ," 40,000 ",,,100%,33%,200%, - ,0.00
2026-09-07,1899-0263,JTBC4,이유식 안부," 141,172 ", 5 ,,, 1 ," 20,000 ",,,0%,0%,0%, - ,1.70
2026-09-07,1899-7319,JTBC4,식사지원 준우_메인," 94,115 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-07,1899-3569,JTBC4,식사지원 준우_아동," 94,115 ", 3 , 1 , 1 ,,,,,100%,33%,0%," 94,115 ",0.00
2026-09-07,1899-7318,JTBC4,식사지원 예진," 141,172 ", 5 , 2 , 2 , 1 ," 30,000 ",,,100%,40%,50%," 70,586 ",2.55
2026-09-07,1899-7325,JTBC4,신장질환 세나," 141,172 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-07,1899-0762,JTBC4,영유아 정훈," 141,172 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-07,1899-7316,JTBC4,네팔 긴급구호," 94,115 ", 3 , 2 , 2 ,,, 1 ," 20,000 ",100%,67%,0%," 47,058 ",0.00
2026-09-07,1899-0795,JTBC4,몽골 아누진," 94,115 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-07,1899-7326,JTBC2 (SVC),영유아 정훈, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-07,1899-0776,라이프타임,영유아 정훈," 148,850 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-07,1899-7314,히스토리 (SVC),식사지원 예진, - , 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-09-07,1899-5186,시네마천국_국내,식사지원 예진," 119,872 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
